project,amt_2024_actual,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2027_estimate,amt_2028_estimate,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Rapid responses Financial Support to fire victims and other disasters across the State,0.0,322500000.0,322500000.0,100000000.0,2500000000.0,2500000000.0,0.0,210,0.1152,0.13317,011100800100,State Emergency Management Agency (SEMA),23010139,PURCHASE OF POVERTY AND EMERGENCY RELIEF MATERIALS,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,23070224000300,Emergency Response and Relief Services
Construction of SEMA office and warehouses in Sokoto,0.0,0.0,0.0,500000000.0,500000000.0,500000000.0,0.0,210,0.12337,0.14134,011100800100,State Emergency Management Agency (SEMA),23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,23070224000400,Emergency Response and Relief Services
"Relocation of flood victims in Sakkwai, Kwallasa, Kutufare, Illela Dabore and Lokoko in Tangaza, Gudu and Shagari consequtively",0.0,0.0,0.0,300000000.0,300000000.0,300000000.0,0.0,210,0.13154,0.14951,011100800100,State Emergency Management Agency (SEMA),23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,23070224000500,Emergency Response and Relief Services
Establishment of Temporary IDP's Camps in the State,0.0,0.0,0.0,50000000.0,350000000.0,350000000.0,0.0,210,0.13971,0.15768,011100800100,State Emergency Management Agency (SEMA),23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,23070224000600,Emergency Response and Relief Services
"Purchase of emergency relief materials such as matresses, blankets, buckets, food stuffs, utensils for Quick response assistance to victims of communal crises, Banditry, IDP's, Refugees and returnees.",0.0,0.0,0.0,200000000.0,150000000.0,150000000.0,0.0,210,0.14788,0.16585,011100800100,State Emergency Management Agency (SEMA),23010139,PURCHASE OF POVERTY AND EMERGENCY RELIEF MATERIALS,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,23070224000700,Emergency Response and Relief Services
Provision of Reliief Materials to IDPs under UNSDPS (Delivery as One),0.0,0.0,0.0,50000000.0,50000000.0,50000000.0,0.0,210,0.15605,0.17402,011100800100,State Emergency Management Agency (SEMA),23010139,PURCHASE OF POVERTY AND EMERGENCY RELIEF MATERIALS,71091,SOCIAL PROTECTION N.E.C.,33342400,State Wide,23070224000800,Emergency Response and Relief Services
Purchase of 10no. HP Desktop and 7no of HP Laptops,0.0,40000000.0,0.0,0.0,0.0,0.0,0.0,210,0.19771,0.21569,011101000100,Bureau for Public Procurement and Price Intelligence,23010113,PURCHASE OF COMPUTERS,70133,OTHER GENERAL SERVICES,33312100,WAMAKKO,13100125000100,Reform of Government and Governance - General
Purchase of 60KVA Micano ST40 Generator,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,210,0.20588,0.22386,011101000100,Bureau for Public Procurement and Price Intelligence,23010119,PURCHASE OF POWER GENERATING SET,70133,OTHER GENERAL SERVICES,33312100,WAMAKKO,13100125000200,Reform of Government and Governance - General
Procurement of 1 No Toyota Hilux 2024 Model,0.0,0.0,0.0,0.0,200000000.0,200000000.0,0.0,210,0.21405,0.23203,011101000100,Bureau for Public Procurement and Price Intelligence,23010105,PURCHASE OF MOTOR VEHICLES,70133,OTHER GENERAL SERVICES,33312100,WAMAKKO,13100125000300,Reform of Government and Governance - General
"Construction of New office building at Sama Road, Area Sokoto",0.0,100000000.0,28500000.0,0.0,300000000.0,300000000.0,0.0,210,0.22222,0.2402,011101000100,Bureau for Public Procurement and Price Intelligence,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70133,OTHER GENERAL SERVICES,33312100,WAMAKKO,13100125000400,Reform of Government and Governance - General
Procurement of Solar System in the Office Head quarter,0.0,0.0,0.0,20000000.0,20000000.0,20000000.0,0.0,210,0.23039,0.24837,011101000100,Bureau for Public Procurement and Price Intelligence,23020123,CONSTRUCTION OF TRAFFIC /STREET LIGHTS,70133,OTHER GENERAL SERVICES,33312100,WAMAKKO,13100126000100,Reform of Government and Governance - General
"Purchase of 600 No. Each of Knitting, Tailoring, Sewing Machines and tabs for Youth and Women Emp",0.0,400000000.0,0.0,350000000.0,400000000.0,400000000.0,0.0,210,0.27124,0.28922,011102000100,POVERTY REDUCTION PROGRAMME,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT 71051 - UNEMPLOYMENT,,owerment,33342400,State Wide,03100125000100,Poverty Alleviation - General
Purchase and Distribution of 4000 Nos. Yamaha Pumping Machines,0.0,650000000.0,0.0,350000000.0,650000000.0,650000000.0,0.0,210,0.28023,0.2982,011102000100,POVERTY REDUCTION PROGRAMME,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT,71051,UNEMPLOYMENT,33342400,State Wide,03100126000100,Poverty Alleviation - General
Procurement and Installation of 1000 no. Solar Inverter for Women empowerment,0.0,200000000.0,0.0,200000000.0,200000000.0,200000000.0,0.0,210,0.2884,0.30637,011102000100,POVERTY REDUCTION PROGRAMME,23020123,CONSTRUCTION OF TRAFFIC /STREET LIGHTS,71051,UNEMPLOYMENT,33342400,State Wide,03100126000200,Poverty Alleviation - General
Construction of SPORA Cottage Industries at Kasarawa,0.0,200000000.0,0.0,200000000.0,200000000.0,200000000.0,0.0,210,0.29657,0.31454,011102000100,POVERTY REDUCTION PROGRAMME,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,71051,UNEMPLOYMENT,33312100,WAMAKKO,03100126000300,Poverty Alleviation - General
Purchase of 5 No. HP Computer laptop (high capacity/ speed for the Agency,0.0,3500000.0,0.0,3500000.0,0.0,0.0,0.0,210,0.30474,0.32271,011102000100,POVERTY REDUCTION PROGRAMME,23010113,PURCHASE OF COMPUTERS,70161,GENERAL PUBLIC SERVICES N.E.C.,33342400,State Wide,13100126000300,Reform of Government and Governance - General
"Purchase and distribution of textile design, Hairdressing, Barbing, cosmetology, and Photography Equip",0.0,700000000.0,0.0,400000000.0,700000000.0,700000000.0,0.0,210,0.31291,0.33088,011102000100,POVERTY REDUCTION PROGRAMME,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT 71051 - UNEMPLOYMENT,,ment to 350 vulnerable graduate and non graduates in the state,33342400,State Wide,03100125000200,Poverty Alleviation - General
Purchase of 500 No. Keke Napep for Transportation Empowerment across the State,0.0,200000000.0,0.0,200000000.0,200000000.0,200000000.0,0.0,210,0.32108,0.33905,011102000100,POVERTY REDUCTION PROGRAMME,23010104,PURCHASE MOTOR CYCLES,71051,UNEMPLOYMENT,33342400,State Wide,03100126000400,Poverty Alleviation - General
"Purchase of 1No, 2022model Toyota hilux",0.0,70000000.0,0.0,0.0,0.0,0.0,0.0,210,0.36193,0.3799,011103500200,Primary School Staff Pension Board,23010105,PURCHASE OF MOTOR VEHICLES,70133,OTHER GENERAL SERVICES,33342400,State Wide,03100124001100,Poverty Alleviation - General
Renovation of Hajj Camp at Kasarawa and Aliyu Magatakarda Hajj terminal,0.0,50000000.0,0.0,229000000.0,0.0,0.0,0.0,210,0.40359,0.42157,011103700100,Pilgrims Welfare Agency,23030128,REHABILITATION/REPAIRS OF RELIGIOUS BUILDING,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,33312100,WAMAKKO,13100125000100,Reform of Government and Governance - General
Reconstruction of Pilgrims Welfare Agency at Ibrahim dasuki road,0.0,110000000.0,0.0,169140622.34,0.0,0.0,0.0,210,0.41176,0.42974,011103700100,Pilgrims Welfare Agency,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,33311700,SOKOTO SOUTH,13100125000200,Reform of Government and Governance - General
Construction of 300 capacity Hall at Pilgrims welfare Agency,0.0,180000000.0,0.0,0.0,0.0,0.0,0.0,210,0.41993,0.43791,011103700100,Pilgrims Welfare Agency,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,33311700,SOKOTO SOUTH,13100125000300,Reform of Government and Governance - General
"Purchase of executive tables, chairs, conference tables, desks, shelves, filing cabinets for New Pilgrims Welfere Agency",0.0,10000000.0,0.0,150000000.0,0.0,0.0,0.0,210,0.4281,0.44608,011103700100,Pilgrims Welfare Agency,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,33311700,SOKOTO SOUTH,13100125000400,Reform of Government and Governance - General
Purchase of 2no GMC and 30 seater Coaster bus for Pilgrims at Saudi Arabia,0.0,75000000.0,0.0,575000000.0,0.0,0.0,0.0,210,0.43627,0.45425,011103700100,Pilgrims Welfare Agency,23010108,PURCHASE OF BUSES,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,33342400,State Wide,13100125000500,Reform of Government and Governance - General
"Purchase of 5no 18 seater Busses and 2no Official Vehicle , one Land Cruiser Prado 2024 model and One Toyota Hillux 2024 model",0.0,75000000.0,0.0,0.0,0.0,0.0,0.0,210,0.44444,0.46242,011103700100,Pilgrims Welfare Agency,23010105,PURCHASE OF MOTOR VEHICLES,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,33342400,State Wide,13100125000600,Reform of Government and Governance - General
Construction of pathways in Sokoto metropolis (Malale),0.0,0.0,0.0,2500000000.0,300000000.0,250000000.0,0.0,210,0.48611,0.50408,011103800100,Department for Special Projects,23020114,CONSTRUCTION / PROVISION OF ROADS,70621,COMMUNITY DEVELOPMENT,33342400,State Wide,13100126000400,Reform of Government and Governance - General
Construction of 46No of Boreholes for 26 wards in the State,0.0,0.0,0.0,20000000.0,20000000.0,20000000.0,0.0,210,0.49428,0.51225,011103800100,Department for Special Projects,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70631,WATER SUPPLY,33342400,State Wide,13100126000500,Reform of Government and Governance - General
Renovation of Boreholes across 40 wards in the State,0.0,0.0,0.0,50000000.0,50000000.0,50000000.0,0.0,210,0.50245,0.52042,011103800100,Department for Special Projects,23030104,REHABILITATION / REPAIRS - WATER FACILITIES,70631,WATER SUPPLY,33342400,State Wide,13100126000600,Reform of Government and Governance - General
Construction of Small earth dam in each of the 3 Senatorial zones of the State,0.0,0.0,0.0,25000000.0,25000000.0,25000000.0,0.0,210,0.51062,0.52859,011103800100,Department for Special Projects,23020116,CONSTRUCTION / PROVISION OF WATER-WAYS,70621,COMMUNITY DEVELOPMENT,33342400,State Wide,13100126000700,Reform of Government and Governance - General
"Purchase of 10,000 units reflective Jackets for Kabu-Kabu as empowerment",11755000.0,45000000.0,0.0,522000000.0,22000000.0,22000000.0,0.0,210,0.55147,0.56944,016700100100,Ministry for Special Duties,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000100,Reform of Government and Governance - General
Procurement of 50 no Bajaj and Kasea motorcycles as Empowerment,0.0,45000000.0,0.0,0.0,0.0,0.0,0.0,210,0.55964,0.57761,016700100100,Ministry for Special Duties,23010104,PURCHASE MOTOR CYCLES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100126000800,Reform of Government and Governance - General
Construction of Solar Powered Boreholes and Earth dams to communities across the State,0.0,70000000.0,4550000.0,70000000.0,70000000.0,70000000.0,0.0,210,0.56781,0.58578,016700100100,Ministry for Special Duties,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000200,Reform of Government and Governance - General
Special Donations and Gifts on behalf of Government,0.0,0.0,0.0,30000000.0,30000000.0,30000000.0,0.0,210,0.5768,0.59477,016700100100,Ministry for Special Duties,23050104,ANNIVERSARIES/CELEBRATIONS,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100126000900,Reform of Government and Governance - General
Renovation of super quarters at Sama road,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,210,0.61765,0.63562,016100100100,SSG'S Office,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70133,OTHER GENERAL SERVICES,33312100,WAMAKKO,13100126001000,Reform of Government and Governance - General
Construcion of Dilapidated Governor' lodges at Lamido road kaduna,0.0,200000000.0,0.0,0.0,0.0,0.0,0.0,210,0.62582,0.64379,016100100100,SSG'S Office,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100125000100,Reform of Government and Governance - General
Rehabilitation of5 units VIP Villas in Sokoto,0.0,150400000.0,57684799.5,100000000.0,0.0,0.0,0.0,210,0.63399,0.65196,016100100100,SSG'S Office,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70133,OTHER GENERAL SERVICES,33312100,WAMAKKO,13100125000200,Reform of Government and Governance - General
Renovation of Presidential Lodge and VIP villas in Sokoto,0.0,470000000.0,369063596.54,1400000000.0,0.0,0.0,0.0,210,0.64216,0.66013,016100100100,SSG'S Office,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33312100,WAMAKKO,13100125000300,Reform of Government and Governance - General
Purchase of 30no. Parado 2023 model vehicles for members of the state Executive council,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,210,0.65033,0.6683,016100100100,SSG'S Office,23010105,PURCHASE OF MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100125000400,Reform of Government and Governance - General
Purchase of 40no. Changan vehicles for Special Advisers,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,210,0.6585,0.67647,016100100100,SSG'S Office,23010105,PURCHASE OF MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100125000500,Reform of Government and Governance - General
Rehabilitation of Governor's Lodge Abuja,0.0,300000000.0,0.0,1300000000.0,0.0,0.0,0.0,210,0.66667,0.68464,016100100100,SSG'S Office,23030103,REHABILITATION / REPAIRS - HOUSING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100125000600,Reform of Government and Governance - General
Maintenance of street lights within Sokoto metropolis,0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,210,0.67484,0.69281,016100100100,SSG'S Office,23030123,REHABILITATION/REPAIRS- TRAFFIC /STREET LIGHTS,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000700,Reform of Government and Governance - General
Construction of Guest House for Deputy Governor,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,210,0.68382,0.7018,016100100100,SSG'S Office,23020102,CONSTRUCTION / PROVISION OF RESIDENTIAL BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126001100,Reform of Government and Governance - General
Renovation of Deputy Governors Official Residence,0.0,300000000.0,0.0,200000000.0,0.0,0.0,0.0,210,0.69199,0.70997,016100100100,SSG'S Office,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33312100,WAMAKKO,13100125000800,Reform of Government and Governance - General
Construction of ultra modern Villa at Government House Sokoto,0.0,0.0,0.0,7300000000.0,0.0,0.0,0.0,210,0.70016,0.71814,016100100100,SSG'S Office,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33312100,WAMAKKO,05050126000100,Schools’ infrastructure construction and rehabilitation
Support for Human right and Donor Agencies,0.0,2324000000.0,2323864755.38,0.0,0.0,0.0,0.0,210,0.70833,0.72631,016100100100,SSG'S Office,23010119,PURCHASE OF POWER GENERATING SET,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000900,Reform of Government and Governance - General
Construction of students Hostel at Usman Danfodio University Sokoto,0.0,0.0,0.0,350000000.0,0.0,0.0,0.0,210,0.7165,0.73448,016100100100,SSG'S Office,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70941,FIRST STAGE OF TERTIARY EDUCATION,33312100,WAMAKKO,05050126000200,Schools’ infrastructure construction and rehabilitation
"Procurement of 10 no each of Toyota Hilux, Buffalo and Toyota Avensis as assistance to security agencies in the state",0.0,550000000.0,0.0,550000000.0,0.0,0.0,0.0,210,0.72467,0.74265,016100100100,SSG'S Office,23010105,PURCHASE OF MOTOR VEHICLES,70361,PUBLIC ORDER AND SAFETY N.E.C.,33342400,State Wide,13100124000100,Reform of Government and Governance - General
"Made in the North Expo, Exhibition and Economic Summit",0.0,0.0,0.0,200000000.0,5000000000.0,7000000000.0,0.0,210,0.73284,0.75082,016100100100,SSG'S Office,23050108,CAPACITY DEVELOPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126001200,Reform of Government and Governance - General
"Support for the conduct of Surveys, Research and development in the state",0.0,100000000.0,10000000.0,0.0,0.0,0.0,0.0,210,0.74101,0.75899,016100100100,SSG'S Office,23050101,RESEARCH AND DEVELOPMENT,70971,R & D EDUCATION,33342400,State Wide,13100126001300,Reform of Government and Governance - General
Renovation of Sultan Residence in Abuja,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,210,0.74918,0.76716,016100100100,SSG'S Office,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126001400,Reform of Government and Governance - General
Renovation of Government House sokoto,0.0,250000000.0,84614359.42,450000000.0,0.0,0.0,0.0,210,0.75735,0.77533,016100100100,SSG'S Office,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126001500,Reform of Government and Governance - General
Renovation of Government House Clinic sokoto,0.0,50000000.0,0.0,50000000.0,0.0,0.0,0.0,210,0.76552,0.7835,016100100100,SSG'S Office,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70731,GENERAL HOSPITAL SERVICES,33342400,State Wide,04050326000102,"Facility electrification, water and sanitation"
Support for project and programmes under UN delivery as one DAO,0.0,200000000.0,0.0,200000000.0,0.0,0.0,0.0,210,0.77369,0.79167,016100100100,SSG'S Office,23050101,RESEARCH AND DEVELOPMENT,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126001600,Reform of Government and Governance - General
"Procurement of 50 no vehicles comprising of Peogeot 406, Toyota Hilux, Hyundai, Toyota Avensis, Toyota Corolla, Parado jeep for Judiciary and other MDAs (General Pool)",0.0,3512997500.0,3512997500.0,5048500000.0,5000000000.0,5500000000.0,0.0,210,0.78268,0.80065,016100100100,SSG'S Office,23010105,PURCHASE OF MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126001700,Reform of Government and Governance - General
Construction and completion of Jumuat mosque Farfaru,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,210,0.79085,0.80882,016100100100,SSG'S Office,23020128,CONSTUCTION/PROVISION OF RELIGIOUS BUILDING,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,33342400,State Wide,13100126001800,Reform of Government and Governance - General
"Purchase office chairs, cushions and varieties of household tables for Deputy Governor's Official Residence",0.0,50000000.0,13752000.0,50000000.0,0.0,0.0,0.0,210,0.79902,0.81699,016100100100,SSG'S Office,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126001900,Reform of Government and Governance - General
Purchase of 13 Additional Vehicles for Special Advisers,0.0,800000000.0,300364000.0,500000000.0,0.0,0.0,0.0,210,0.80719,0.82516,016100100100,SSG'S Office,23010105,PURCHASE OF MOTOR VEHICLES,70111,EXECUTIVE AND LEGISLATIVE ORGANS,33342400,State Wide,13100126002000,Reform of Government and Governance - General
Construction of additional Court complex at High Court of Justice Sokoto,0.0,630000000.0,307518331.19,1760000000.0,0.0,0.0,0.0,210,0.81536,0.83333,016100100100,SSG'S Office,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100125001000,Reform of Government and Governance - General
"Procurement and Installation Solar Inverter, Pannels and Lithium Batteries",0.0,0.0,0.0,2200000000.0,0.0,0.0,0.0,210,0.82353,0.8415,016100100100,SSG'S Office,23010119,PURCHASE OF POWER GENERATING SET,70331,LAW COURTS,33342400,State Wide,13100126002100,Reform of Government and Governance - General
Renovation of Governor's Lodge Kaduna,0.0,0.0,0.0,800000000.0,0.0,0.0,0.0,210,0.8317,0.84967,016100100100,SSG'S Office,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70331,LAW COURTS,33342400,State Wide,13100126002200,Reform of Government and Governance - General
Purchase of 1 no of Toyota Hilux 2022 model,0.0,40000000.0,0.0,0.0,0.0,0.0,0.0,210,0.87255,0.89052,016102100400,NGOs and Donors Agency,23010105,PURCHASE OF MOTOR VEHICLES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000100,Reform of Government and Governance - General
Purchase of 3 no of Daylong motor cycle,0.0,4500000.0,0.0,4500000.0,4500000.0,600000.0,0.0,210,0.88154,0.89951,016102100400,NGOs and Donors Agency,23010104,PURCHASE MOTOR CYCLES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000200,Reform of Government and Governance - General
"Purchase of 6 set of tables, chairs and 2 book shelves",0.0,0.0,0.0,7000000.0,7000000.0,7000000.0,0.0,210,0.88971,0.90768,016102100400,NGOs and Donors Agency,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100126002300,Reform of Government and Governance - General
Purchase of 2 no laptops HP core i5,0.0,0.0,0.0,1500000.0,1500000.0,1500000.0,0.0,210,0.89788,0.91585,016102100400,NGOs and Donors Agency,23010113,PURCHASE OF COMPUTERS,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100126002400,Reform of Government and Governance - General
Purchase of 2 no kyocera photocopiers,0.0,0.0,0.0,1500000.0,1500000.0,1500000.0,0.0,211,0.09069,0.10866,016102100400,NGOs and Donors Agency,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100126002500,Reform of Government and Governance - General
Purchase of 1 No of Toyota Hilux 2022 model,0.0,75000000.0,0.0,0.0,0.0,0.0,0.0,211,0.13154,0.14951,016102100500,Department for Human Rights,23010105,PURCHASE OF MOTOR VEHICLES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000100,Reform of Government and Governance - General
Purchase of 3 No of Daylong Motor cycle,0.0,5000000.0,0.0,5000000.0,0.0,0.0,0.0,211,0.13971,0.15768,016102100500,Department for Human Rights,23010104,PURCHASE MOTOR CYCLES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000200,Reform of Government and Governance - General
Purchase of 2 No of Laptop (HP 8Gb 2.5GHZ),0.0,1200000.0,0.0,0.0,0.0,0.0,0.0,211,0.14788,0.16585,016102100500,Department for Human Rights,23010113,PURCHASE OF COMPUTERS,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000300,Reform of Government and Governance - General
Purchace of 2 No of Printer (HP Laserjet Latest Model),0.0,1200000.0,0.0,1000000.0,0.0,0.0,0.0,211,0.15605,0.17402,016102100500,Department for Human Rights,23010114,PURCHASE OF COMPUTER PRINTERS,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000400,Reform of Government and Governance - General
Purchase of 1 No Kyocera Photocopying Machine,0.0,700000.0,0.0,700000.0,0.0,0.0,0.0,211,0.16422,0.18219,016102100500,Department for Human Rights,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000500,Reform of Government and Governance - General
Purchase of 20 no office chairs and tables for Human Rights offices,0.0,3000000.0,0.0,3000000.0,0.0,0.0,0.0,211,0.17239,0.19036,016102100500,Department for Human Rights,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100125000600,Reform of Government and Governance - General
"Construction of Community micro projects in Health, Education, Environment, Water and Sanitation across the State",0.0,500000000.0,0.0,0.0,0.0,0.0,0.0,211,0.21405,0.23203,016102100600,Community and Social Development Agency,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70561,ENVIRONMENTAL PROTECTION N.E.C.,33342400,State Wide,09100125000100,Environmental Improvement - General
Construction of 30 beds capacity ward in 5 selected Healths facilities across the state,0.0,0.0,0.0,227500000.0,0.0,0.0,0.0,211,0.22222,0.2402,016102100600,Community and Social Development Agency,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70561,ENVIRONMENTAL PROTECTION N.E.C.,33342400,State Wide,09100126000700,Environmental Improvement - General
Construction of 1 block of 3 class rooms each in 5 selected secondary schools acroos the state,0.0,0.0,0.0,175000000.0,0.0,0.0,0.0,211,0.23039,0.24837,016102100600,Community and Social Development Agency,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70561,ENVIRONMENTAL PROTECTION N.E.C.,33342400,State Wide,09100126000800,Environmental Improvement - General
"Constuction of 10 solar powered borehole reticulation with10,000ltr overhead tanks in 2oselected communitirsacross the state",0.0,0.0,0.0,252252000.0,0.0,0.0,0.0,211,0.23856,0.25654,016102100600,Community and Social Development Agency,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70561,ENVIRONMENTAL PROTECTION N.E.C.,33342400,State Wide,09100126000900,Environmental Improvement - General
Renovation of 10 wards in 10 selected Health facility acroos the state,0.0,0.0,0.0,342751452.5,0.0,0.0,0.0,211,0.24673,0.26471,016102100600,Community and Social Development Agency,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70561,ENVIRONMENTAL PROTECTION N.E.C.,33342400,State Wide,09100126001000,Environmental Improvement - General
Renovation of 1 block of three classrooms each in 5 selected primary schools across the state,0.0,0.0,0.0,49158140.0,0.0,0.0,0.0,211,0.2549,0.27288,016102100600,Community and Social Development Agency,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70561,ENVIRONMENTAL PROTECTION N.E.C.,33342400,State Wide,09100126001100,Environmental Improvement - General
Renovation of 10 solar powered boreholes in 10 selected communities across the state,0.0,0.0,0.0,123338407.5,0.0,0.0,0.0,211,0.26307,0.28105,016102100600,Community and Social Development Agency,23030104,REHABILITATION / REPAIRS - WATER FACILITIES,70561,ENVIRONMENTAL PROTECTION N.E.C.,33342400,State Wide,09100126001200,Environmental Improvement - General
"Construction of IDP Camps at Isa, Sabon Birni and Rabah",0.0,164911200.0,0.0,800000000.0,1164911200.0,1164911200.0,0.0,211,0.30474,0.32271,016102100800,Department for IDPs Matters,23020104,CONSTRUCTION / PROVISION OF HOUSING,71071,SOCIAL EXCLUSION N.E.C.,33342400,State Wide,23070525000100,Refugee and Internally Displaced Persons (IDP) Assistance
Renovation of Houses for Internally Displaced Persons across the State,0.0,1000000000.0,0.0,1300000000.0,500000000.0,500000000.0,0.0,211,0.31291,0.33088,016102100800,Department for IDPs Matters,23030103,REHABILITATION / REPAIRS - HOUSING,71071,SOCIAL EXCLUSION N.E.C.,33342400,State Wide,23070525000200,Refugee and Internally Displaced Persons (IDP) Assistance
0,0.0,0.0,0.0,505000000.0,1000000000.0,1000000000.0,0.0,211,0.32108,0.33905,016102100800,Department for IDPs Matters,23030103,REHABILITATION / REPAIRS - HOUSING,71071,SOCIAL EXCLUSION N.E.C.,33342400,State Wide,23070525000300,Refugee and Internally Displaced Persons (IDP) Assistance
